Nom;Fonction;Adresse;Tel;Site Web
L'éléphant Itsasoan;Réalisations textiles, Sacs, Accessoires de mode, Décoration d'interieur;Saint-Geours-de-Maremne (40230);+33695615743;https://elephant-itsasoan.fr
Avec mes mots;redaction web;17 route du mesnil Mazé (49630);0651345556;https://avecmesmots.com
SMS Proxima;Campagne SMS et marketing mobile;Boutenac (11200);;https://sms-proxima.com
Damien PATOZ;Conseiller en gestion de patrimoine;Pulversheim (68840);0781527773;http://multisim.fr
AO Pyro;Prestataire Pyrotechnique;3 rue des fossés Mélisey (89430);0756815240;http://www.aopyro.com
l'univers d'Ismérie;créatrice textile fabrication d'accessoire de mode;Magnien (21230);;http://luniversdismerie.eproshopping.fr
L’Atelier des Anges de Taó;Créatrice bijoux en pierres;12 GRANDE RUE Flavignerot (21160);0672304121;https://lesangesdetao.com/
Studio Pan;Graphiste - Directrice artistique;369 Rue Paradis Marseille (13008);0620748974;http://www.studio-pan.fr
AZILIZ ASSISTANCE;Services aux entreprises;Beuzeville (27210);07.85.18.52.89;
Aux Essences Elfiques;Fabrication et vente de fondants parfumés - Commerce de détails sur internet;25 rue de la vallée Cahon (80132);;https://auxessenceselfiques.fr
So'Nath;Rédaction de sites internet, de magazines et journaux;Dijon (21000);0603700843;
Spinel Advisory;Conseil en organisation, stratégie et financement, secteur ONG / écologie / énergies renouvelables;50 rue Sainte Anne de Baraban Lyon (69003);0781866861;https://www.spinel-advisory.com
Reims Patrimoine;Conseiller patrimonial;6 rue martin peller Reims (51100);0617052385;https://reimspatrimoine.com
Caducée Office;Secrétaire Médicale indépendante;5 route de Thann Aspach-le-Haut (68700);0618488470;https://caduceeoffice.business.site/
MON COURSIER DE QUARTIER ORLÉANS;Exploitant vélo taxi;place du martroi Orléans (45000);06.83.12.82.17;http://www.moncoursierdequartier-orleans.com
ghislaiine;formateur management;Paris 1 (75001);;
Peinture Générale Roland;Peintre en bâtiment;1 RUE DU COMMANDANT KIEFFER Béziers (34500);0667960683;
BI4ol;Informaticien;Clermont-Ferrand (63000);0659747013;https://bi4ol.yj.fr
Marie Cazaubon - Cabinet MC-Diet;Diététicienne nutritionniste;33 Av de Rebais La Ferté-sous-Jouarre (77260);0652917877;http://www.mc-diet.fr
bonnaillie jean-noel;webmaster;63 avenue Faidherbe Dunkerque (59240);0359675024;https://creanum.net/
DG Studio Création;Agence Web, photo, graphiste, création visuelle;17 rue du Petit Nanot Boucau (64340);0608043415;http://dgsc.fr
Comm au Cinéma;Développement de carrière artistique;24 rue de Clichy Paris 9 (75009);0659797233;https://www.commaucinema.fr/
DoubleDutch Studio - Maargie Van Dongen;Graphiste - webdesigner;Prats-de-Carlux (24370);;https://doubledutchstudio.fr
BATICAD 3D;Dessinateur bâtiment;THEIX Saint-Sulpice-le-Guérétois (23000);+33784934718;http://www.baticad3d.fr
ActiFormPro;Recrutement d'agents commerciaux indépendants;Caen (14000);0682883794;http://www.actiformpro.fr
Eliana Diaz;Secrétaire comptable trilingue anglais/espagnol;Caen (14000);0781113457;https://secretariat.2dws.fr/
Audrey Kune;Professeure de Théâtre;Rue Hoche Issy-les-Moulineaux (92130);06.28.06.88.56;
christophe barré;Restaurateur de mobilier ancien;686, Chemin saint Joseph Draguignan (83300);0659813694;http://atelier-mopane.eu/
WANDA Admin'Assist;Assistante indépendante en gestion administrative et commerciale;Colombe (38690);0619061554;
ivan urbanowski;Développeur Web;9 rue guillaume d'autignac Montpellier (34070);0760527992;https://ivan-urbanowski.fr
AVA PRAT CONSULTING;Aide à la création d'entreprise, Comptabilité;Lieusaint (77127);;
B2Sconsulting.me;Assistanat juridique et administratif;4 rue des Passerelles Cran-Gevrier (74960);0620554246;
l'atelier du Perroquet;Maroquinière-Brodeuse d'art;17 Avenue des Trois Roches l'atelier du perroquet Troche (19230);0607448564;https://latelierduperroquet.fr
Ekatérina Bélozerova;traductrice du français / anglais vers le russe;Boissy-Saint-Léger (94470);0651672672;http://belozerova.fr
FDH ASSISTANCE;secrétaire indépendante;46 RUE DE PRONY Asnières-sur-Seine (92600);0613287239;https://www.fdhassistance.com
THOMAS DELAERE;Consultant en Entreprise;Avenue de l europe Roncq (59223);0698171311;https://www.thomasdelaere.com
Marion SOULAGES;PSYCHOTHERAPEUTE;Taillades (84300);0678937054;http://marionsoulages84ac.wixsite.com/marionsoulages84-acp
EventAssist06;Event Coordinator;Antibes (06600);0642536683;
Laëtitia Corizzi;Consultante Marketing Digital;Cuers (83390);;https://www.laetitia-corizzi.com/
STEPHANIE QUARANTA;Réflexologue;23 rue du Languedoc Tournefeuille (31170);0679954601;https://www.medoucine.com/consultation/tournefeuille/stephanie-quaranta/952
Prestaservice cocktail;Maître d'Hotel / Organisateur de réception;Noisy-le-Grand (93160);0622741821;http://www.prestaservicecocktail.fr
Mon Assistant Numérique Artois;Consultant numérique;Arras (62000);0620730071;https://www.monassistantnumerique.com/home/reseau/accompagnement-numerique-arras-et-lens/
Kalidées - Isa DESNOS;Assistante Polyvalente Freelance;2 rue Ernest Fabrègue Lyon (69009);0663168732;http://www.kalidees.fr
Antonella De Paola;Professeur de batterie;Bordeaux (33800);0695283696;
Sylvie Barbey;Relaxogue - Réflexologue;22 Oree De Marly Noisy-le-Roi (78590);0781796263;http://Sorelaxsomassage.fr
Ombeline Naturo'pattes;Naturopathe animalier;Cugnaux (31270);0680122519;https://www.facebook.com/Ombelinenaturopattes/
Jolies histoires;Photographe;Toulouse (31100);;https://jolieshistoires.fr
othercom;assistance à la conformité des documents obligatoires;La Madeleine (59110);+33668625007;http://www.othercom.fr
Pethus Conseil & Solutions;Conseil et accompagnement des organisations (entreprises, administrations et associations);59 rue de ponthieu Bureau 562 Paris 8 (75008);0751882833;https://www.pethus.fr/
Le massage du bien-être;Thérapeute;Paris 14 (75014);0609127404;http://www.lemassagedubienetre.com/
HTMP Service;Bricolage Rénovation;Saint-Cyr-sur-Mer (83270);;https://htmpservice.wixsite.com/saint-cyr-sur-mer
Votre assistante personnelle - 91;Conseils aux entreprises et aux particuliers;7, Rue de l'Isle Amet Maisse (91720);+33662142656;https://www.votreassistantepersonnelle-91.com
NATLYD;Dirigeante et Responsable de projets formation;2 rue du Presbytère Chacé (49400);0630679121;http://www.natlyd.fr
SAP ALIAS;Prestataire de services à la personne;BP 1180 - 9 rue de Cambrai Paris 19 (75019);0687261044;http://www.sapalias.fr
Énergie Éveil et Soin;Magnétiseur, praticien Reiki, thérapeute holistique;En Bidaoucot Puymaurin (31230);0787506061;http://www.energieeveiletsoin.com
FLAMENT Nathalie;assistante juridique formaliste;Rochefort (17300);0603803317;http://www.jurisoutien.fr
Khila;Électricité;15 henrie barbusse 78280 15 rue de Varenne 75001 Guyancourt (78280);0615173856;
Sophie Crespin-Cadoret - Perles de bien-être;Sophrologue;30 AVENUE DUNOIS L'Haÿ-les-Roses (94240);0178545196;http://www.sophrology-wellness.com
PV Conseil;Conseil en Systèmes de Management et Formation;8 allee du bourbonnais Maurepas (78310);0677583049;
Télésecrétariat Services;Assistante indépendante;Montgiscard (31450);0561463505;https://telesecretariat-services.com
Pedro Shiatsu;Masseur Shiatsu;Bourg-en-Bresse (01000);0782144133;
DreamProduction;Graphiste et Développeur web;35 impasse Marceline Chatuzange-le-Goubet (26300);0620267676;https://www.dreamproduction.fr
Malou Home Office;secrétaire administrative;Aucamville (31140);;
Secteur Beauté;Entrepreneur indépendant;Saint-Geniès-de-Malgoirès (30190);;http://www.secteurbeaute.com
Muller Télésecrétariat;Assistante indépendante;Puyravault (85450);0645324509;https://www.muller-telesecretariat.com/
Goundjey DIARRA;Digital Marketing;3 place jacques prévert Bussy-Saint-Georges (77600);0605617309;
JUMPCUTSTUDIO;PRODUCTION ET REALISATION AUDIOVISUELLE;Toulouse (31000);;http://www.jumpcutstudio.fr/
Claire Eguibeguy;Traductrice Anglais > Français freelance;Bordeaux (33000);;http://www.nayatranslations.com
Grillabroder;Mercerie;Matha (17160);0640117282;http://www.grillabroder.fr
APi n'Co;Ecrivain public et apporteur de solutions;La Roche-sur-Yon (85000);0648111250;https://www.apinco.fr
Antoine Rousseau;Consultant et Développeur Web fullstack;2 Impasse Domaine Vaissette Toulouse (31000);0632292830;https://antoine.rousseau.im
Terra Grafika ®;Designer Graphique;Rue de l'église Cabrières (34800);0644302316;https://terragrafika.fr/
Thomas Young;Traducteur professionnel du français vers l'anglais;1 allée Auguste Renoir Saint-Étienne-de-Montluc (44360);+33(0)635412405;http://www.thomasyoung.fr
